Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
50,2,869,2,3,1,2,1,47,0,1,86,1,0,8,2,1,2683,3810,1,0,1,14,0,2,80,0,3,2,2,3,2,0,2,1
35,2,890,2,2,2,2,1,49,3,0,97,2,0,8,3,1,2014,9687,1,0,0,13,0,0,80,0,2,3,2,2,2,2,2,0
36,2,852,1,5,3,1,1,51,1,0,82,1,0,6,0,1,3419,13072,9,0,1,14,0,3,80,1,6,3,3,1,1,0,0,0
33,1,1141,2,1,2,1,1,52,2,0,42,3,1,7,0,1,5376,3193,2,0,0,19,0,0,80,2,10,3,2,5,3,1,3,0
35,2,464,1,4,1,4,1,53,2,1,75,2,0,2,3,0,1951,10910,1,0,0,12,0,2,80,1,1,3,2,1,0,0,0,0
27,2,1240,1,2,3,1,1,54,3,0,33,2,0,2,0,0,2341,19715,1,0,0,13,0,3,80,1,1,6,2,1,0,0,0,0
26,2,1357,1,25,2,1,1,55,0,1,48,0,0,2,2,2,2293,10558,1,0,0,12,0,2,80,0,1,2,1,1,0,0,1,1
27,1,994,2,8,2,1,1,56,3,1,37,2,2,7,2,2,8726,2975,1,0,0,15,0,3,80,0,9,0,2,9,8,1,7,0
30,1,721,1,1,1,3,1,57,2,0,58,2,1,2,3,2,4011,10781,1,0,0,23,1,3,80,0,12,2,2,12,8,3,7,0
41,2,1360,1,12,2,5,1,58,1,0,49,2,4,5,2,1,19545,16280,1,0,0,12,0,3,80,0,23,0,2,22,15,15,8,1
34,0,1065,2,23,3,2,1,60,1,1,72,2,1,7,2,2,4568,10034,0,0,0,20,1,2,80,0,10,2,2,9,5,8,7,0
37,2,408,1,19,1,1,1,61,1,1,73,2,0,6,1,1,3022,10227,4,0,0,21,1,0,80,0,8,1,2,1,0,0,0,0
46,1,1211,2,5,3,2,1,62,0,1,98,2,1,7,3,2,5772,20445,4,0,1,21,1,2,80,0,14,4,2,9,6,0,8,0
35,2,1229,1,8,0,1,1,63,3,1,36,3,0,2,3,1,2269,4892,1,0,0,19,0,3,80,0,1,2,2,1,0,0,1,0
48,2,626,1,1,1,1,1,64,0,1,98,1,2,2,2,2,5381,19294,9,0,1,13,0,3,80,0,23,2,2,1,0,0,0,1
28,2,1434,1,5,3,5,1,65,2,1,50,2,0,2,2,2,3441,11179,1,0,1,13,0,2,80,0,2,3,1,2,2,2,2,1
44,2,1488,2,1,4,2,1,68,1,0,75,2,1,7,0,0,5454,4009,5,0,1,21,1,2,80,1,9,2,1,4,3,1,3,0
35,0,1097,1,11,1,3,1,70,2,1,79,1,2,0,0,1,9884,8302,2,0,1,13,0,2,80,1,10,3,2,4,0,2,3,0
26,2,1443,2,23,2,2,1,72,2,0,47,1,1,7,3,1,4157,21436,7,0,1,19,0,2,80,1,5,2,1,2,2,0,0,0
33,1,515,1,1,1,1,1,73,0,0,98,2,2,5,3,2,13458,15146,1,0,1,12,0,2,80,0,15,1,2,15,14,8,12,0
35,1,853,2,18,4,1,1,74,1,1,71,2,2,7,0,1,9069,11031,1,0,0,22,1,3,80,1,9,3,1,9,8,1,8,0
35,2,1142,1,23,3,3,1,75,2,0,30,2,0,2,0,1,4014,16002,3,0,1,15,0,2,80,1,4,3,2,2,2,2,2,0
31,2,655,1,7,3,1,1,76,3,1,48,2,1,2,3,0,5915,9528,3,0,0,22,1,3,80,1,10,3,1,7,7,1,7,0
37,2,1115,1,1,3,1,1,77,0,1,51,1,1,4,2,0,5993,2689,1,0,0,18,0,2,80,1,7,2,3,7,5,0,7,0
32,2,427,1,1,2,3,1,78,0,1,33,2,1,4,3,1,6162,10877,1,0,1,22,1,1,80,1,9,3,2,9,8,7,8,0
38,1,653,1,29,4,1,1,79,3,0,50,2,1,2,3,2,2406,5456,1,0,0,11,0,3,80,0,10,2,2,10,3,9,9,0
50,2,989,1,7,1,3,1,80,1,0,43,1,4,5,2,0,18740,16701,5,0,1,12,0,3,80,1,29,2,1,27,3,13,8,0
59,2,1435,2,25,2,1,1,81,0,0,99,2,2,7,0,2,7637,2354,7,0,0,11,0,3,80,0,28,3,1,21,16,7,9,0
36,2,1223,1,8,2,5,1,83,2,0,59,2,2,0,2,0,10096,8202,1,0,0,13,0,1,80,3,17,2,2,17,14,12,8,0
55,2,836,1,8,2,3,1,84,3,0,33,2,3,3,2,0,14756,19730,2,0,1,14,0,2,80,3,21,2,2,5,0,0,2,0
36,1,1195,1,11,2,1,1,85,1,1,95,1,1,4,1,2,6499,22656,1,0,0,13,0,2,80,0,6,3,2,6,5,0,3,0
45,2,1339,1,7,2,1,1,86,1,1,59,2,2,6,0,0,9724,18787,2,0,0,17,0,2,80,1,25,2,2,1,0,0,0,0
35,1,664,1,1,2,3,1,88,1,1,79,2,0,6,0,1,2194,5868,4,0,0,13,0,3,80,1,5,2,1,3,2,1,2,0
36,2,318,1,9,2,3,1,90,3,1,79,1,0,6,2,1,3388,21777,0,0,1,17,0,0,80,1,2,0,1,1,0,0,0,1
59,1,1225,2,1,0,1,1,91,0,0,57,1,1,7,2,2,5473,24668,7,0,0,11,0,3,80,0,20,2,1,4,3,1,3,0
29,2,1328,1,2,2,1,1,94,2,1,76,2,0,6,1,1,2703,4956,0,0,0,23,1,3,80,1,6,3,2,5,4,0,4,0
31,2,1082,1,1,3,3,1,95,2,1,87,2,0,6,1,2,2501,18775,1,0,0,17,0,1,80,0,1,4,2,1,1,1,0,0
32,2,548,1,1,2,1,1,96,1,1,66,2,1,6,1,1,6220,7346,1,0,0,17,0,1,80,2,10,3,2,10,4,0,9,0
36,2,132,1,6,2,1,1,97,1,0,55,3,0,2,3,1,3038,22002,3,0,0,12,0,1,80,0,5,3,2,1,0,0,0,0
31,2,746,1,8,3,1,1,98,2,0,61,2,1,4,3,2,4424,20682,1,0,0,23,1,3,80,0,11,2,2,11,7,1,8,0
35,2,776,2,1,3,2,1,100,2,1,32,1,1,7,0,2,4312,23016,0,0,0,14,0,1,80,0,16,2,2,15,13,2,8,0
45,2,193,1,6,3,4,1,101,3,1,52,2,2,5,0,1,13245,15067,4,0,1,14,0,1,80,0,17,3,3,0,0,0,0,0
37,2,397,1,7,3,3,1,102,0,1,30,2,2,5,2,2,13664,25258,4,0,0,13,0,0,80,0,16,3,3,5,2,0,2,0
46,2,945,0,5,1,3,1,103,1,1,80,2,1,1,1,0,5021,10425,8,0,1,22,1,3,80,1,16,2,2,4,2,0,2,0
30,2,852,1,1,0,1,1,104,3,1,55,1,1,2,3,1,5126,15998,1,0,1,12,0,2,80,2,10,1,1,10,8,3,0,0
35,2,1214,1,1,2,3,1,105,1,1,30,1,0,6,2,2,2859,26278,1,0,0,18,0,0,80,0,6,3,2,6,4,0,4,0
55,2,111,2,1,1,1,1,106,0,1,70,2,2,7,3,1,10239,18092,3,0,0,14,0,3,80,1,24,4,2,1,0,1,0,0
38,0,573,1,6,2,3,1,107,1,0,79,0,1,6,3,0,5329,15717,7,0,1,12,0,3,80,3,17,3,2,13,11,1,9,0
34,2,1153,1,1,1,3,1,110,0,1,94,2,1,4,1,1,4325,17736,1,0,0,15,0,2,80,0,5,2,2,5,2,1,3,0
56,2,1400,1,7,2,1,1,112,3,1,49,0,2,4,3,2,7260,21698,4,0,0,11,0,0,80,0,37,3,1,6,4,0,2,0
23,2,541,2,2,0,5,1,113,2,1,62,2,0,8,0,0,2322,9518,3,0,0,13,0,2,80,1,3,3,2,0,0,0,0,0
51,2,432,1,9,3,1,1,116,3,1,96,2,0,2,3,1,2075,18725,3,0,0,23,1,1,80,2,10,4,2,4,2,0,3,0
30,2,288,1,2,2,1,1,117,2,1,99,1,1,0,3,1,4152,15830,1,0,0,19,0,0,80,3,11,3,2,11,10,10,8,0
46,2,669,2,9,1,3,1,118,2,1,64,1,2,7,3,2,9619,13596,1,0,0,16,0,3,80,0,9,3,2,9,8,4,7,1
40,1,530,1,1,3,1,1,119,2,1,78,1,3,0,1,1,13503,14115,1,0,0,22,1,3,80,1,22,3,1,22,3,11,11,0
51,2,632,2,21,3,2,1,120,2,1,71,2,1,7,3,2,5441,8423,0,0,1,22,1,3,80,0,11,2,0,10,7,1,0,0
30,2,1334,2,4,1,3,1,121,2,0,63,1,1,7,1,0,5209,19760,1,0,1,12,0,1,80,3,11,4,1,11,8,2,7,0
46,1,638,1,1,2,3,1,124,2,1,40,1,2,0,0,1,10673,3142,2,0,1,13,0,2,80,1,21,5,1,10,9,9,5,0
32,2,1093,2,6,3,3,1,125,1,1,87,2,1,7,2,2,5010,24301,1,0,0,16,0,0,80,0,12,0,2,11,8,5,7,0
54,2,1217,1,2,3,5,1,126,0,0,60,2,2,5,2,1,13549,24001,9,0,0,12,0,0,80,1,16,5,0,4,3,0,3,0
24,2,1353,2,3,1,4,1,128,0,0,33,2,1,7,2,1,4999,17519,0,0,0,21,1,0,80,1,4,2,1,3,2,0,2,0
28,0,120,2,4,2,3,1,129,1,1,43,2,1,7,2,1,4221,8863,1,0,0,15,0,1,80,0,5,3,3,5,4,0,4,0
58,2,682,2,10,3,3,1,131,3,1,37,2,3,7,2,2,13872,24409,0,0,0,13,0,2,80,0,38,1,1,37,10,1,8,0
44,0,489,1,23,2,3,1,132,1,1,67,2,1,2,1,1,2042,25043,4,0,0,12,0,2,80,1,17,3,3,3,2,1,2,0
37,2,807,0,6,3,0,1,133,2,1,63,2,0,1,0,0,2073,23648,4,0,1,22,1,3,80,0,7,3,2,3,2,0,2,1
32,2,827,1,1,0,1,1,134,3,1,71,2,0,6,0,2,2956,15178,1,0,0,13,0,3,80,0,1,2,2,1,0,0,0,0
20,1,871,1,6,2,1,1,137,3,0,66,1,0,2,3,2,2926,19783,1,0,1,18,0,1,80,0,1,5,2,1,0,1,0,1
34,2,665,1,6,3,4,1,138,0,0,41,2,1,6,2,2,4809,12482,1,0,0,14,0,2,80,0,16,3,2,16,13,2,10,0
37,0,1040,1,2,1,1,1,139,2,1,100,1,1,0,3,0,5163,15850,5,0,0,14,0,3,80,1,17,2,3,1,0,0,0,0
59,0,1420,0,2,3,0,1,140,2,0,32,1,4,3,3,1,18844,21922,9,0,0,21,1,3,80,1,30,3,2,3,2,2,2,0
50,1,1115,1,1,2,1,1,141,0,0,73,2,4,5,1,1,18172,9755,3,0,1,19,0,0,80,0,28,1,1,8,3,0,7,0
25,2,240,2,5,2,2,1,142,2,1,46,1,1,7,2,2,5744,26959,1,0,1,11,0,3,80,0,6,1,2,6,4,0,3,1
25,2,1280,1,7,0,3,1,143,3,1,64,1,0,6,3,1,2889,26897,1,0,0,11,0,2,80,2,2,2,2,2,2,2,1,0
22,2,534,1,15,2,3,1,144,1,0,59,2,0,2,3,2,2871,23785,1,0,0,15,0,2,80,0,1,5,2,0,0,0,0,0
51,1,1456,1,1,3,3,1,145,0,0,30,1,2,0,0,2,7484,25796,3,0,0,20,1,2,80,0,23,1,1,13,12,12,8,0
34,1,658,1,7,2,1,1,147,0,1,66,0,1,2,2,2,6074,22887,1,0,1,24,1,3,80,0,9,3,2,9,7,0,6,1
54,0,142,0,26,2,0,1,148,3,0,30,3,3,3,3,2,17328,13871,2,0,1,12,0,2,80,0,23,3,2,5,3,4,4,0
24,2,1127,1,18,0,1,1,150,1,1,52,2,0,2,2,1,2774,13257,0,0,0,12,0,2,80,1,6,2,2,5,3,1,2,0
34,2,1031,1,6,3,1,1,151,2,0,45,1,1,6,1,0,4505,15000,6,0,0,15,0,2,80,1,12,3,2,1,0,0,0,0
37,2,1189,2,3,2,1,1,152,2,1,87,2,2,7,3,2,7428,14506,2,0,0,12,0,0,80,0,12,3,2,5,3,1,3,0
34,2,1354,1,5,2,3,1,153,2,0,45,1,2,3,0,2,11631,5615,2,0,0,12,0,3,80,0,14,6,2,11,10,5,8,0
36,1,1467,2,11,1,5,1,154,1,0,92,2,2,7,3,1,9738,22952,0,0,0,14,0,2,80,1,10,6,2,9,7,2,8,0
36,2,922,1,3,1,1,1,155,0,0,39,2,0,2,3,0,2835,2561,5,0,0,22,1,0,80,1,7,2,2,1,0,0,0,0
43,1,394,2,26,1,1,1,158,2,1,92,2,3,3,3,1,16959,19494,1,0,1,12,0,3,80,2,25,3,3,25,12,4,12,0
30,1,1312,1,23,2,1,1,159,0,1,96,0,0,6,2,0,2613,22310,1,0,0,25,1,2,80,3,10,2,1,10,7,0,9,0
33,0,750,2,22,1,2,1,160,2,1,95,2,1,7,1,1,6146,15480,0,0,0,13,0,0,80,1,8,2,3,7,7,0,7,0
56,2,441,1,14,3,1,1,161,1,0,72,2,0,6,1,1,4963,4510,9,0,1,18,0,0,80,3,7,2,2,5,4,4,3,1
51,2,684,1,6,2,1,1,162,0,1,51,2,4,5,2,2,19537,6462,7,0,0,13,0,2,80,0,23,5,2,20,18,15,15,0
31,2,249,2,6,3,1,1,163,1,1,76,0,1,7,2,1,6172,20739,4,0,1,18,0,1,80,0,12,3,1,7,7,7,7,1
26,2,841,1,6,2,4,1,164,2,0,46,1,0,6,1,1,2368,23300,1,0,0,19,0,2,80,0,5,3,1,5,4,4,3,0
58,2,147,1,23,3,3,1,165,3,0,94,2,2,0,3,1,10312,3465,1,0,0,12,0,3,80,1,40,3,1,40,10,15,6,1
19,2,528,2,22,0,2,1,167,3,1,50,2,0,8,2,2,1675,26820,1,0,1,19,0,3,80,0,0,2,1,0,0,0,0,1
22,2,594,1,2,0,5,1,169,2,1,100,2,0,2,3,1,2523,19299,0,0,0,14,0,2,80,1,3,2,2,2,1,2,1,0
49,2,470,1,20,3,3,1,170,2,0,96,2,1,4,0,1,6567,5549,1,0,0,14,0,2,80,0,16,2,1,15,11,5,11,0
43,1,957,1,28,2,3,1,171,1,0,72,3,0,6,2,2,4739,16090,4,0,0,12,0,3,80,0,18,2,2,3,2,1,2,0
50,1,809,2,12,2,2,1,174,2,0,77,2,2,7,3,2,9208,6645,4,0,0,11,0,3,80,0,16,3,2,2,2,2,1,0
31,2,542,2,20,2,1,1,175,1,0,71,0,1,7,2,1,4559,24788,3,0,1,11,0,2,80,1,4,2,2,2,2,2,2,1
41,2,802,2,9,0,1,1,176,2,1,96,2,2,7,2,0,8189,21196,3,0,1,13,0,2,80,1,12,2,2,9,7,0,7,0
26,2,1355,0,25,0,1,1,177,2,0,61,2,0,1,2,1,2942,8916,1,0,0,23,1,3,80,1,8,3,2,8,7,5,7,0
36,2,216,1,6,1,3,1,178,1,1,84,2,1,4,1,0,4941,2819,6,0,0,20,1,3,80,2,7,0,2,3,2,0,1,0
51,1,1150,1,8,3,1,1,179,0,1,53,0,2,4,3,2,10650,25150,2,0,0,15,0,3,80,0,18,2,2,4,2,0,3,1
39,2,1329,2,4,3,1,1,182,3,0,47,1,1,7,2,1,5902,14590,4,0,0,14,0,2,80,1,17,1,3,15,11,5,9,0
25,2,959,2,28,2,1,1,183,0,1,41,1,1,7,2,1,8639,24835,2,0,0,18,0,3,80,0,6,3,2,2,2,2,2,0
30,2,1240,0,9,2,0,1,184,2,1,48,2,1,1,3,1,6347,13982,0,0,1,19,0,3,80,0,12,2,0,11,9,4,7,0
32,2,1033,1,9,2,3,1,190,0,0,41,2,0,2,0,2,4200,10224,7,0,0,22,1,0,80,0,10,2,3,5,4,0,4,1
45,2,1316,1,29,2,3,1,192,2,1,83,2,0,6,3,2,3452,9752,5,0,0,13,0,1,80,0,9,2,1,6,5,0,3,0
38,2,364,1,3,4,5,1,193,3,0,32,2,1,6,2,2,4317,2302,3,0,1,20,1,1,80,0,19,2,2,3,2,2,2,0
30,2,438,1,18,2,1,1,194,0,0,75,2,0,6,2,2,2632,23910,1,0,0,14,0,2,80,0,5,4,1,5,4,0,4,0
32,1,689,2,9,1,3,1,195,3,1,35,0,1,7,3,0,4668,22812,0,0,0,17,0,3,80,3,9,2,3,8,7,0,7,0
30,2,201,1,5,2,5,1,197,3,0,84,2,0,6,0,0,3204,10415,5,0,0,14,0,3,80,1,8,3,2,3,2,2,2,0
30,2,1427,1,2,0,3,1,198,1,1,35,1,0,2,3,2,2720,11162,0,0,0,13,0,3,80,0,6,3,2,5,3,1,2,0
41,1,857,1,10,2,1,1,199,3,1,91,1,3,3,0,0,17181,12888,4,0,0,13,0,1,80,1,21,2,1,7,6,7,7,0
41,2,933,1,9,3,1,1,200,2,1,94,2,0,2,0,1,2238,6961,2,0,0,21,1,3,80,1,7,2,2,5,0,1,4,0
19,2,1181,1,3,0,3,1,201,1,0,79,2,0,2,1,2,1483,16102,1,0,0,14,0,3,80,0,1,3,2,1,0,0,0,0
40,1,1395,1,26,2,3,1,202,1,0,54,2,1,6,1,0,5605,8504,1,0,0,11,0,0,80,1,20,2,2,20,7,2,13,0
35,2,662,2,1,4,2,1,204,2,1,94,2,2,7,1,1,7295,11439,1,0,0,13,0,0,80,2,10,3,2,10,8,0,6,0
53,2,1436,2,6,1,2,1,205,1,1,34,2,1,8,2,1,2306,16047,2,0,1,20,1,3,80,1,13,3,0,7,7,4,5,0
45,2,194,1,9,2,1,1,206,1,1,60,2,1,2,1,0,2348,10901,8,0,0,18,0,2,80,1,20,2,0,17,9,0,15,0
32,1,967,2,8,2,2,1,207,1,0,43,2,2,7,3,2,8998,15589,1,0,0,14,0,3,80,0,9,2,2,9,8,3,7,0
29,0,1496,1,1,0,5,1,208,3,1,41,2,1,4,2,1,4319,26283,1,0,0,13,0,0,80,1,10,1,2,10,7,0,9,0
51,2,1169,1,7,3,3,1,211,1,1,34,1,1,4,2,1,6132,13983,2,0,0,17,0,2,80,0,10,2,2,1,0,0,0,0
58,2,1145,1,9,2,3,1,214,1,0,75,1,0,6,1,1,3346,11873,4,0,1,20,1,1,80,1,9,3,1,1,0,0,0,0
40,2,630,2,4,3,2,1,215,2,1,67,1,2,7,3,1,10855,8552,7,0,0,11,0,0,80,1,15,2,1,12,11,2,11,0
34,1,303,2,2,3,2,1,216,2,0,75,2,0,8,2,1,2231,11314,6,0,0,18,0,3,80,1,6,3,2,4,3,1,2,0
22,2,1256,1,19,0,3,1,217,2,1,80,2,0,6,3,1,2323,11992,1,0,0,24,1,0,80,2,2,6,2,2,2,2,2,0
27,0,691,1,9,2,3,1,218,3,1,57,2,0,6,1,0,2024,5970,6,0,0,18,0,3,80,1,6,1,0,2,2,2,2,0
28,2,440,1,21,2,3,1,221,2,1,42,2,0,6,3,1,2713,6672,1,0,0,11,0,2,80,1,5,2,0,5,2,0,2,0
57,2,334,1,24,1,1,1,223,2,1,83,3,2,0,3,0,9439,23402,3,0,1,16,0,1,80,1,12,2,0,5,3,1,4,0
27,0,1450,1,3,2,3,1,224,2,1,79,1,0,6,2,0,2566,25326,1,0,1,15,0,3,80,1,1,2,1,1,1,0,1,0
50,2,1452,1,11,2,1,1,226,2,0,53,2,4,3,1,2,19926,17053,3,0,0,15,0,1,80,0,21,5,2,5,4,4,4,0
41,2,465,1,14,2,1,1,227,0,1,56,2,0,6,2,0,2451,4609,4,0,0,12,0,0,80,1,13,2,2,9,8,1,8,0
30,2,1339,2,5,2,1,1,228,1,0,41,2,2,7,3,1,9419,8053,2,0,0,12,0,2,80,1,12,2,2,10,9,7,4,0
38,2,702,2,1,3,1,1,230,0,0,59,1,1,7,3,2,8686,12930,4,0,0,22,1,2,80,0,12,2,3,8,3,0,7,0
32,2,120,1,6,4,1,1,231,2,1,43,2,0,6,2,2,3038,12430,3,0,0,20,1,0,80,0,8,2,2,5,4,1,4,0
27,2,1157,1,17,2,5,1,233,2,1,51,2,0,6,1,1,3058,13364,0,0,1,16,0,3,80,1,6,3,1,5,2,1,1,0
19,1,602,2,1,0,5,1,235,2,0,100,0,0,8,0,2,2325,20989,0,0,0,21,1,0,80,0,1,5,3,0,0,0,0,1
36,1,1480,1,3,1,3,1,238,3,1,30,2,0,2,1,2,2088,15062,4,0,0,12,0,2,80,0,13,3,1,8,7,7,2,0
30,0,111,1,9,2,3,1,239,2,1,66,2,1,2,0,0,3072,11012,1,0,0,11,0,2,80,2,12,4,2,12,9,6,10,0
45,2,1268,2,4,1,1,1,240,2,0,30,2,1,7,0,0,5006,6319,4,0,1,11,0,0,80,1,9,3,3,5,4,0,3,0
56,2,713,1,8,2,1,1,241,2,0,67,2,0,6,0,0,4257,13939,4,0,1,18,0,2,80,1,19,3,2,2,2,2,2,0
33,2,134,1,2,2,1,1,242,2,1,90,2,0,6,3,2,2500,10515,0,0,0,14,0,0,80,0,4,2,3,3,1,0,2,0
19,2,303,1,2,2,1,1,243,1,1,47,1,0,2,3,2,1102,9241,1,0,0,22,1,2,80,0,1,3,1,1,0,1,0,1
46,2,526,2,1,1,2,1,244,1,0,92,2,2,7,0,0,10453,2137,1,0,0,25,1,2,80,3,24,2,2,24,13,15,7,0
38,2,1380,1,9,1,1,1,245,2,0,75,2,0,2,3,2,2288,6319,1,0,0,12,0,2,80,0,2,3,2,2,2,2,1,0
31,2,140,1,12,0,3,1,246,2,0,95,2,0,6,3,1,3929,6984,8,0,1,23,1,2,80,1,7,0,2,4,2,0,2,0
34,2,629,1,27,1,3,1,247,3,0,95,2,0,6,1,2,2311,5711,2,0,0,15,0,3,80,0,9,3,2,3,2,1,2,0
41,2,1356,2,20,1,2,1,248,1,0,70,2,0,8,1,2,3140,21728,1,0,1,22,1,3,80,0,4,5,1,4,3,0,2,1
50,2,328,1,1,2,3,1,249,2,1,86,1,0,2,2,1,3690,3425,2,0,0,15,0,3,80,1,5,2,1,3,2,0,2,0
53,2,1084,1,13,1,3,1,250,3,0,57,3,1,4,0,0,4450,26250,1,0,0,11,0,2,80,2,5,3,2,4,2,1,3,0
